day,hour,spends,transactions,items
2010-02-14,9,187.61000000000004,2,42
2010-02-14,10,67.94000000000001,1,21
2010-02-14,11,25.36,2,5
2010-02-14,12,506.24,5,153
2010-02-14,15,154.81,3,48
2010-02-14,16,5.98,1,2
2010-02-14,17,168.38,3,64
2010-02-14,18,6.29,1,4
2010-02-14,20,137.17999999999995,3,53
2010-02-15,10,65.14999999999999,1,14
2010-02-15,11,543.8200000000003,5,128
2010-02-15,12,193.95000000000002,5,43
2010-02-15,13,43.35000000000001,4,12
2010-02-15,15,206.59000000000015,5,63
2010-02-15,16,196.0400000000001,2,50
2010-02-15,17,55.69,1,6
2010-02-15,18,21.06,1,7
2010-02-15,19,11.06,1,3
2010-02-15,20,19.45,1,7
2010-02-15,21,32.17999999999999,1,12
2010-02-16,10,160.26999999999995,1,40
2010-02-16,11,6.98,1,2
2010-02-16,12,27.41999999999999,1,13
2010-02-16,13,6.49,1,1
2010-02-16,14,111.31999999999995,2,25
2010-02-16,15,82.07999999999997,2,32
2010-02-16,16,288.86,5,71
2010-02-16,17,73.0,2,28
2010-02-16,18,33.27,1,9
2010-02-16,19,151.72999999999996,6,55
2010-02-17,12,8.77,1,4
2010-02-17,13,126.71000000000001,3,30
2010-02-17,14,76.07999999999998,1,34
2010-02-17,15,13.329999999999998,1,7
2010-02-17,16,7.07,1,10
2010-02-17,18,9.86,1,5
2010-02-17,19,61.36,2,21
2010-02-17,20,429.17000000000013,2,72
2010-02-17,21,27.17,2,7
2010-02-18,10,2.6,1,2
2010-02-18,11,314.0900000000001,4,56
2010-02-18,12,152.13000000000005,3,44
2010-02-18,16,35.980000000000004,1,6
2010-02-18,17,12.149999999999999,2,6
2010-02-18,18,104.59999999999998,1,29
2010-02-18,19,28.790000000000003,2,6
2010-02-18,20,15.07,2,3
2010-02-18,21,23.479999999999997,1,13
2010-02-19,9,45.81,1,16
2010-02-19,10,5.68,1,2
2010-02-19,11,106.81999999999998,1,38
2010-02-19,12,4.03,1,2
2010-02-19,13,165.61000000000004,4,48
2010-02-19,14,36.28,2,14
2010-02-19,15,51.47,3,27
2010-02-19,16,449.6200000000003,4,80
2010-02-19,19,33.24,2,7
2010-02-19,20,46.71,1,19
2010-02-19,22,27.810000000000002,1,9
